time,springDeflFL,springDeflFR,camberFL,camberFR,cmComFL,cmComFR,cmCamKinFL,cmCamKinFR,cmCamFL,cmCamFR,cmPitchCenterL,cmPitchCenterR
20.6900000000023,-0.00239629147599534,-0.00239658966890899,-0.000708268523868375,0.000708367063367509,-0.00318761076778173,-0.00318790762685239,-0.000933611649088562,0.00093371031107381,-0.00135043100453913,0.00135045289061964,1.63094401359558,1.63096380233765
20.7000000000023,-0.00239629228412686,-0.00239658897723594,-0.000708268780835449,0.00070836681136782,-0.00318761169910431,-0.00318790692836046,-0.000933611881919205,0.000933710078243166,-0.00135043100453913,0.00135045277420431,1.63094401359558,1.63096368312836
20.7100000000023,-0.00239629309530518,-0.00239658816605761,-0.000708269038732783,0.000708366523967934,-0.00318761239759624,-0.00318790599703789,-0.000933612114749849,0.000933709787204862,-0.00135043100453913,0.00135045277420431,1.63094401359558,1.63096368312836
20.7200000000023,-0.00239629390940526,-0.00239658735195753,-0.000708269297520937,0.000708366235632921,-0.00318761309608817,-0.00318790529854596,-0.000933612405788153,0.000933709554374218,-0.00135043100453913,0.00135045277420431,1.63094401359558,1.63096368312836
20.7300000000024,-0.00239629489539398,-0.00239658682065438,-0.000708269607139224,0.000708366030818365,-0.0031876137945801,-0.00318790460005403,-0.000933612638618797,0.000933709321543574,-0.00135043112095445,0.00135045277420431,1.63094413280487,1.63096368312836
20.7400000000024,-0.00239629571491692,-0.00239658611758991,-0.000708269867577811,0.000708365775177099,-0.00318761449307203,-0.00318790390156209,-0.000933612871449441,0.00093370903050527,-0.00135043112095445,0.00135045265778899,1.63094413280487,1.63096356391907
20.7500000000024,-0.00239629653695234,-0.0023965852955545,-0.000708270128779646,0.000708365484317412,-0.00318761542439461,-0.00318790320307016,-0.000933613162487745,0.000933708797674626,-0.00135043112095445,0.00135045265778899,1.63094413280487,1.63096356391907
20.7600000000024,-0.00239629736137518,-0.00239658447113166,-0.000708270390705291,0.000708365192704378,-0.00318761612288654,-0.00318790227174759,-0.000933613395318389,0.000933708506636322,-0.00135043112095445,0.00135045265778899,1.63094413280487,1.63096356391907
20.7700000000024,-0.00239629807159054,-0.00239658364445781,-0.000708270618890611,0.000708364900384101,-0.00318761682137847,-0.00318790157325566,-0.000933613686356694,0.000933708273805678,-0.00135043112095445,0.00135045265778899,1.63094425201416,1.63096356391907
20.7800000000024,-0.00239629890040169,-0.00239658281564666,-0.000708270882143298,0.000708364607395241,-0.0031876175198704,-0.00318790087476373,-0.000933613919187337,0.000933708040975034,-0.00135043123736978,0.00135045265778899,1.63094425201416,1.63096356391907
20.7900000000024,-0.0023962997312251,-0.00239658210128173,-0.000708271146002578,0.000708364348202149,-0.00318761845119298,-0.0031879001762718,-0.000933614210225642,0.00093370774993673,-0.00135043123736978,0.00135045254137367,1.63094425201416,1.63096344470978
20.8000000000024,-0.00239630056392435,-0.00239658126858249,-0.000708271410425928,0.000708364054007718,-0.00318761914968491,-0.00318789924494922,-0.000933614443056285,0.000933707517106086,-0.00135043123736978,0.00135045254137367,1.63094425201416,1.63096344470978
20.8100000000025,-0.00239630139838574,-0.0023965804341211,-0.000708271675377819,0.000708363759272214,-0.00318761984817684,-0.00318789854645729,-0.000933614675886929,0.000933707226067781,-0.00135043123736978,0.00135045254137367,1.63094425201416,1.63096344470978
20.8200000000025,-0.00239630211802574,-0.00239657959802262,-0.00070827190639775,0.000708363464037659,-0.00318762054666877,-0.00318789784796536,-0.000933614966925234,0.000933706993237138,-0.0013504313537851,0.00135045254137367,1.63094437122345,1.63096344470978
20.8300000000025,-0.00239630295567036,-0.00239657887683647,-0.000708272172299863,0.000708363202758322,-0.00318762147799134,-0.00318789691664279,-0.000933615199755877,0.000933706702198833,-0.0013504313537851,0.00135045242495835,1.63094437122345,1.63096332550049
20.8400000000025,-0.00239630379471333,-0.00239657803779351,-0.000708272438616935,0.000708362906639733,-0.00318762217648327,-0.00318789621815085,-0.000933615490794182,0.00093370646936819,-0.0013504313537851,0.00135045242495835,1.63094437122345,1.63096332550049
20.8500000000025,-0.00239630463506369,-0.00239657719744314,-0.000708272705320159,0.00070836261013544,-0.0031876228749752,-0.00318789551965892,-0.000933615723624825,0.000933706178329885,-0.0013504313537851,0.00135045242495835,1.63094437122345,1.63096332550049
20.8600000000025,-0.0023963053601493,-0.00239657635589906,-0.000708272937952672,0.000708362313283379,-0.00318762357346714,-0.00318789458833635,-0.00093361601466313,0.000933705945499241,-0.0013504313537851,0.00135045242495835,1.63094449043274,1.63096332550049
20.8700000000025,-0.00239630620276203,-0.00239657551328633,-0.000708273205318531,0.000708362016126297,-0.00318762450478971,-0.00318789388984442,-0.000933616247493774,0.000933705654460937,-0.00135043147020042,0.00135045230854303,1.63094449043274,1.63096332550049
20.8800000000025,-0.00239630704636384,-0.00239657478614299,-0.000708273472970952,0.000708361753113656,-0.00318762520328164,-0.00318789319135249,-0.000933616538532078,0.000933705421630293,-0.00135043147020042,0.00135045230854303,1.63094449043274,1.6309632062912
20.8900000000025,-0.00239630817640278,-0.00239657422724809,-0.000708273825277839,0.000708361539850402,-0.00318762590177357,-0.00318789226002991,-0.000933616771362722,0.000933705130591989,-0.00135043147020042,0.00135045230854303,1.63094449043274,1.6309632062912
20.9000000000026,-0.00239630902164168,-0.00239657338200919,-0.000708274093397077,0.000708361241977086,-0.00318762683309615,-0.00318789156153798,-0.000933617062401026,0.000933704839553684,-0.00135043147020042,0.00135045230854303,1.63094449043274,1.6309632062912
20.9100000000026,-0.00239630975108148,-0.00239657253611091,-0.000708274327278312,0.000708360943938506,-0.00318762753158808,-0.00318789086304605,-0.00093361729523167,0.00093370460672304,-0.00135043158661574,0.0013504521921277,1.63094460964203,1.6309632062912
20.9200000000026,-0.00239631059755957,-0.00239657180609131,-0.000708274595739602,0.00070836068018413,-0.00318762823008001,-0.00318788993172348,-0.000933617586269975,0.000933704315684736,-0.00135043158661574,0.0013504521921277,1.63094460964203,1.63096308708191
20.9300000000026,-0.00239631144450377,-0.00239657095914711,-0.000708274864324355,0.000708360381907954,-0.00318762916140258,-0.00318788923323154,-0.000933617819100618,0.000933704082854092,-0.00135043158661574,0.0013504521921277,1.63094460964203,1.63096308708191
20.9400000000026,-0.00239631229182314,-0.00239657011182774,-0.000708275133003487,0.00070836008356425,-0.00318762985989451,-0.00318788853473961,-0.000933618110138923,0.000933703791815788,-0.00135043158661574,0.0013504521921277,1.63094460964203,1.63096308708191
20.9500000000026,-0.0023963130229796,-0.00239656926421278,-0.000708275367330486,0.000708359785180154,-0.00318763055838645,-0.00318788760341704,-0.000933618342969567,0.000933703558985144,-0.00135043170303106,0.00135045207571238,1.63094472885132,1.63096308708191
20.9600000000026,-0.00239631387077646,-0.00239656853287442,-0.000708275636113054,0.000708359521215938,-0.00318763148970902,-0.00318788690492511,-0.000933618634007871,0.000933703267946839,-0.00135043170303106,0.00135045207571238,1.63094472885132,1.63096296787262
20.9700000000026,-0.002396314718687,-0.00239656768496387,-0.000708275904908313,0.000708359222851433,-0.00318763218820095,-0.00318788620643318,-0.000933618866838515,0.000933703035116196,-0.00135043170303106,0.00135045207571238,1.63094472885132,1.63096296787262
